"filename", "language", "Markdown", "pip requirements", "Python", "YAML", "comment", "blank", "total"
"/Users/zhao/Downloads/make_srt/.github/workflows/pythonapp.yml", "YAML", 0, 0, 0, 36, 0, 7, 43
"/Users/zhao/Downloads/make_srt/.github/workflows/requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 1, 4
"/Users/zhao/Downloads/make_srt/Chinese_srt/Chinese_srt.py", "Python", 0, 0, 86, 0, 4, 22, 112
"/Users/zhao/Downloads/make_srt/Chinese_srt/readme.md", "Markdown", 10, 0, 0, 0, 0, 10, 20
"/Users/zhao/Downloads/make_srt/Chinese_srt/requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 1, 4
"/Users/zhao/Downloads/make_srt/Chinese_srt_2/Chinese_srt_2.py", "Python", 0, 0, 43, 0, 0, 15, 58
"/Users/zhao/Downloads/make_srt/Chinese_srt_2/readme.md", "Markdown", 8, 0, 0, 0, 0, 12, 20
"/Users/zhao/Downloads/make_srt/Chinese_srt_2/requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 1, 2
"/Users/zhao/Downloads/make_srt/Chinese_srt_3/Chinese_srt_3.py", "Python", 0, 0, 83, 0, 16, 17, 116
"/Users/zhao/Downloads/make_srt/Chinese_srt_3/readme.md", "Markdown", 14, 0, 0, 0, 0, 16, 30
"/Users/zhao/Downloads/make_srt/Chinese_srt_3/requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 1, 2
"/Users/zhao/Downloads/make_srt/Chinese_srt_run_offline/Chinese_srt.py", "Python", 0, 0, 46, 0, 0, 17, 63
"/Users/zhao/Downloads/make_srt/Chinese_srt_run_offline/readme.md", "Markdown", 12, 0, 0, 0, 0, 14, 26
"/Users/zhao/Downloads/make_srt/Chinese_srt_run_offline/requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 1, 2
"/Users/zhao/Downloads/make_srt/English_srt/English_srt.py", "Python", 0, 0, 71, 0, 4, 18, 93
"/Users/zhao/Downloads/make_srt/English_srt/readme.md", "Markdown", 10, 0, 0, 0, 0, 10, 20
"/Users/zhao/Downloads/make_srt/English_srt/requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 1, 4
"/Users/zhao/Downloads/make_srt/English_srt_2/English_srt_2.py", "Python", 0, 0, 22, 0, 1, 7, 30
"/Users/zhao/Downloads/make_srt/English_srt_2/readme.md", "Markdown", 16, 0, 0, 0, 0, 17, 33
"/Users/zhao/Downloads/make_srt/English_srt_2/requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 1, 3
"/Users/zhao/Downloads/make_srt/English_srt_run_offline/English_srt.py", "Python", 0, 0, 26, 0, 0, 11, 37
"/Users/zhao/Downloads/make_srt/English_srt_run_offline/readme.md", "Markdown", 9, 0, 0, 0, 0, 10, 19
"/Users/zhao/Downloads/make_srt/English_srt_run_offline/requirements.txt", "pip requirements", 0, 1, 0, 0, 0, 1, 2
"/Users/zhao/Downloads/make_srt/README.md", "Markdown", 36, 0, 0, 0, 0, 37, 73
"/Users/zhao/Downloads/make_srt/all_in_one/all_in_one.py", "Python", 0, 0, 175, 0, 36, 54, 265
"/Users/zhao/Downloads/make_srt/all_in_one/readme.md", "Markdown", 25, 0, 0, 0, 0, 25, 50
"/Users/zhao/Downloads/make_srt/all_in_one/requirements.txt", "pip requirements", 0, 6, 0, 0, 0, 1, 7
"/Users/zhao/Downloads/make_srt/download_youtube/download_1.py", "Python", 0, 0, 3, 0, 0, 3, 6
"/Users/zhao/Downloads/make_srt/download_youtube/download_2.py", "Python", 0, 0, 3, 0, 0, 3, 6
"/Users/zhao/Downloads/make_srt/download_youtube/readme.md", "Markdown", 8, 0, 0, 0, 0, 9, 17
"/Users/zhao/Downloads/make_srt/download_youtube/requirements.txt", "pip requirements", 0, 2, 0, 0, 0, 1, 3
"/Users/zhao/Downloads/make_srt/english_srt.py", "Python", 0, 0, 68, 0, 1, 16, 85
"/Users/zhao/Downloads/make_srt/remove.py", "Python", 0, 0, 7, 0, 0, 1, 8
"/Users/zhao/Downloads/make_srt/requirements.txt", "pip requirements", 0, 4, 0, 0, 0, 1, 5
"/Users/zhao/Downloads/make_srt/speechrecognition.py", "Python", 0, 0, 78, 0, 1, 15, 94
"/Users/zhao/Downloads/make_srt/srt_to_audio/readme.md", "Markdown", 15, 0, 0, 0, 0, 17, 32
"/Users/zhao/Downloads/make_srt/srt_to_audio/requirements.txt", "pip requirements", 0, 3, 0, 0, 0, 2, 5
"/Users/zhao/Downloads/make_srt/srt_to_audio/srt_to_audio.py", "Python", 0, 0, 76, 0, 18, 26, 120
"Total", "-", 163, 30, 787, 36, 81, 422, 1519
